RAM Address (Nr),Variable Name,Description (Original German),Description (Translated English),Unit,NA Formula Number,Normwert (Quantization),Tester Display Range,System Constraints / Code Conditions
432,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 432,Unassigned RAM Address / Reserved Channel 432,,,,,
433,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 433,Unassigned RAM Address / Reserved Channel 433,,,,,
434,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 434,Unassigned RAM Address / Reserved Channel 434,,,,,
435,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 435,Unassigned RAM Address / Reserved Channel 435,,,,,
436,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 436,Unassigned RAM Address / Reserved Channel 436,,,,,
437,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 437,Unassigned RAM Address / Reserved Channel 437,,,,,
438,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 438,Unassigned RAM Address / Reserved Channel 438,,,,,
439,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 439,Unassigned RAM Address / Reserved Channel 439,,,,,
440,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 440,Unassigned RAM Address / Reserved Channel 440,,,,,
441,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 441,Unassigned RAM Address / Reserved Channel 441,,,,,
442,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 442,Unassigned RAM Address / Reserved Channel 442,,,,,
443,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 443,Unassigned RAM Address / Reserved Channel 443,,,,,
444,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 444,Unassigned RAM Address / Reserved Channel 444,,,,,
445,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 445,Unassigned RAM Address / Reserved Channel 445,,,,,
446,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 446,Unassigned RAM Address / Reserved Channel 446,,,,,
447,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 447,Unassigned RAM Address / Reserved Channel 447,,,,,
448,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 448,Unassigned RAM Address / Reserved Channel 448,,,,,
449,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 449,Unassigned RAM Address / Reserved Channel 449,,,,,
450,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 450,Unassigned RAM Address / Reserved Channel 450,,,,,
451,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 451,Unassigned RAM Address / Reserved Channel 451,,,,,
452,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 452,Unassigned RAM Address / Reserved Channel 452,,,,,
453,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 453,Unassigned RAM Address / Reserved Channel 453,,,,,
454,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 454,Unassigned RAM Address / Reserved Channel 454,,,,,
455,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 455,Unassigned RAM Address / Reserved Channel 455,,,,,
456,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 456,Unassigned RAM Address / Reserved Channel 456,,,,,
457,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 457,Unassigned RAM Address / Reserved Channel 457,,,,,
458,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 458,Unassigned RAM Address / Reserved Channel 458,,,,,
459,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 459,Unassigned RAM Address / Reserved Channel 459,,,,,
460,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 460,Unassigned RAM Address / Reserved Channel 460,,,,,
461,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 461,Unassigned RAM Address / Reserved Channel 461,,,,,
462,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 462,Unassigned RAM Address / Reserved Channel 462,,,,,
463,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 463,Unassigned RAM Address / Reserved Channel 463,,,,,
464,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 464,Unassigned RAM Address / Reserved Channel 464,,,,,
465,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 465,Unassigned RAM Address / Reserved Channel 465,,,,,
466,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 466,Unassigned RAM Address / Reserved Channel 466,,,,,
467,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 467,Unassigned RAM Address / Reserved Channel 467,,,,,
468,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 468,Unassigned RAM Address / Reserved Channel 468,,,,,
469,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 469,Unassigned RAM Address / Reserved Channel 469,,,,,
470,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 470,Unassigned RAM Address / Reserved Channel 470,,,,,
471,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 471,Unassigned RAM Address / Reserved Channel 471,,,,,
472,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 472,Unassigned RAM Address / Reserved Channel 472,,,,,
473,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 473,Unassigned RAM Address / Reserved Channel 473,,,,,
474,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 474,Unassigned RAM Address / Reserved Channel 474,,,,,
475,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 475,Unassigned RAM Address / Reserved Channel 475,,,,,
476,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 476,Unassigned RAM Address / Reserved Channel 476,,,,,
477,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 477,Unassigned RAM Address / Reserved Channel 477,,,,,
478,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 478,Unassigned RAM Address / Reserved Channel 478,,,,,
479,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 479,Unassigned RAM Address / Reserved Channel 479,,,,,
480,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 480,Unassigned RAM Address / Reserved Channel 480,,,,,
481,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 481,Unassigned RAM Address / Reserved Channel 481,,,,,
482,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 482,Unassigned RAM Address / Reserved Channel 482,,,,,
483,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 483,Unassigned RAM Address / Reserved Channel 483,,,,,
484,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 484,Unassigned RAM Address / Reserved Channel 484,,,,,
485,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 485,Unassigned RAM Address / Reserved Channel 485,,,,,
486,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 486,Unassigned RAM Address / Reserved Channel 486,,,,,
487,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 487,Unassigned RAM Address / Reserved Channel 487,,,,,
488,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 488,Unassigned RAM Address / Reserved Channel 488,,,,,
489,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 489,Unassigned RAM Address / Reserved Channel 489,,,,,
490,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 490,Unassigned RAM Address / Reserved Channel 490,,,,,
491,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 491,Unassigned RAM Address / Reserved Channel 491,,,,,
492,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 492,Unassigned RAM Address / Reserved Channel 492,,,,,
493,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 493,Unassigned RAM Address / Reserved Channel 493,,,,,
494,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 494,Unassigned RAM Address / Reserved Channel 494,,,,,
495,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 495,Unassigned RAM Address / Reserved Channel 495,,,,,
496,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 496,Unassigned RAM Address / Reserved Channel 496,,,,,
497,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 497,Unassigned RAM Address / Reserved Channel 497,,,,,
498,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 498,Unassigned RAM Address / Reserved Channel 498,,,,,
499,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 499,Unassigned RAM Address / Reserved Channel 499,,,,,
500,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 500,Unassigned RAM Address / Reserved Channel 500,,,,,
501,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 501,Unassigned RAM Address / Reserved Channel 501,,,,,
502,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 502,Unassigned RAM Address / Reserved Channel 502,,,,,
503,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 503,Unassigned RAM Address / Reserved Channel 503,,,,,
504,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 504,Unassigned RAM Address / Reserved Channel 504,,,,,
505,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 505,Unassigned RAM Address / Reserved Channel 505,,,,,
506,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 506,Unassigned RAM Address / Reserved Channel 506,,,,,
507,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 507,Unassigned RAM Address / Reserved Channel 507,,,,,
508,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 508,Unassigned RAM Address / Reserved Channel 508,,,,,
509,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 509,Unassigned RAM Address / Reserved Channel 509,,,,,
510,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 510,Unassigned RAM Address / Reserved Channel 510,,,,,
511,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 511,Unassigned RAM Address / Reserved Channel 511,,,,,
512,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 512,Unassigned RAM Address / Reserved Channel 512,,,,,
513,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 513,Unassigned RAM Address / Reserved Channel 513,,,,,
514,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 514,Unassigned RAM Address / Reserved Channel 514,,,,,
515,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 515,Unassigned RAM Address / Reserved Channel 515,,,,,
516,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 516,Unassigned RAM Address / Reserved Channel 516,,,,,
517,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 517,Unassigned RAM Address / Reserved Channel 517,,,,,
518,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 518,Unassigned RAM Address / Reserved Channel 518,,,,,
519,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 519,Unassigned RAM Address / Reserved Channel 519,,,,,
520,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 520,Unassigned RAM Address / Reserved Channel 520,,,,,
521,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 521,Unassigned RAM Address / Reserved Channel 521,,,,,
522,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 522,Unassigned RAM Address / Reserved Channel 522,,,,,
523,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 523,Unassigned RAM Address / Reserved Channel 523,,,,,
524,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 524,Unassigned RAM Address / Reserved Channel 524,,,,,
525,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 525,Unassigned RAM Address / Reserved Channel 525,,,,,
526,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 526,Unassigned RAM Address / Reserved Channel 526,,,,,
527,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 527,Unassigned RAM Address / Reserved Channel 527,,,,,
528,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 528,Unassigned RAM Address / Reserved Channel 528,,,,,
529,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 529,Unassigned RAM Address / Reserved Channel 529,,,,,
530,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 530,Unassigned RAM Address / Reserved Channel 530,,,,,
531,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 531,Unassigned RAM Address / Reserved Channel 531,,,,,
532,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 532,Unassigned RAM Address / Reserved Channel 532,,,,,
533,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 533,Unassigned RAM Address / Reserved Channel 533,,,,,
534,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 534,Unassigned RAM Address / Reserved Channel 534,,,,,
535,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 535,Unassigned RAM Address / Reserved Channel 535,,,,,
536,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 536,Unassigned RAM Address / Reserved Channel 536,,,,,
537,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 537,Unassigned RAM Address / Reserved Channel 537,,,,,
538,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 538,Unassigned RAM Address / Reserved Channel 538,,,,,
539,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 539,Unassigned RAM Address / Reserved Channel 539,,,,,
540,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 540,Unassigned RAM Address / Reserved Channel 540,,,,,
541,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 541,Unassigned RAM Address / Reserved Channel 541,,,,,
542,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 542,Unassigned RAM Address / Reserved Channel 542,,,,,
543,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 543,Unassigned RAM Address / Reserved Channel 543,,,,,
544,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 544,Unassigned RAM Address / Reserved Channel 544,,,,,
545,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 545,Unassigned RAM Address / Reserved Channel 545,,,,,
546,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 546,Unassigned RAM Address / Reserved Channel 546,,,,,
547,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 547,Unassigned RAM Address / Reserved Channel 547,,,,,
548,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 548,Unassigned RAM Address / Reserved Channel 548,,,,,
549,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 549,Unassigned RAM Address / Reserved Channel 549,,,,,
550,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 550,Unassigned RAM Address / Reserved Channel 550,,,,,
551,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 551,Unassigned RAM Address / Reserved Channel 551,,,,,
552,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 552,Unassigned RAM Address / Reserved Channel 552,,,,,
553,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 553,Unassigned RAM Address / Reserved Channel 553,,,,,
554,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 554,Unassigned RAM Address / Reserved Channel 554,,,,,
555,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 555,Unassigned RAM Address / Reserved Channel 555,,,,,
556,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 556,Unassigned RAM Address / Reserved Channel 556,,,,,
557,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 557,Unassigned RAM Address / Reserved Channel 557,,,,,
558,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 558,Unassigned RAM Address / Reserved Channel 558,,,,,
559,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 559,Unassigned RAM Address / Reserved Channel 559,,,,,
560,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 560,Unassigned RAM Address / Reserved Channel 560,,,,,
561,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 561,Unassigned RAM Address / Reserved Channel 561,,,,,
562,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 562,Unassigned RAM Address / Reserved Channel 562,,,,,
563,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 563,Unassigned RAM Address / Reserved Channel 563,,,,,
564,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 564,Unassigned RAM Address / Reserved Channel 564,,,,,
565,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 565,Unassigned RAM Address / Reserved Channel 565,,,,,
566,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 566,Unassigned RAM Address / Reserved Channel 566,,,,,
567,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 567,Unassigned RAM Address / Reserved Channel 567,,,,,
568,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 568,Unassigned RAM Address / Reserved Channel 568,,,,,
569,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 569,Unassigned RAM Address / Reserved Channel 569,,,,,
570,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 570,Unassigned RAM Address / Reserved Channel 570,,,,,
571,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 571,Unassigned RAM Address / Reserved Channel 571,,,,,
572,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 572,Unassigned RAM Address / Reserved Channel 572,,,,,
573,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 573,Unassigned RAM Address / Reserved Channel 573,,,,,
574,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 574,Unassigned RAM Address / Reserved Channel 574,,,,,
575,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 575,Unassigned RAM Address / Reserved Channel 575,,,,,
576,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 576,Unassigned RAM Address / Reserved Channel 576,,,,,
577,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 577,Unassigned RAM Address / Reserved Channel 577,,,,,
578,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 578,Unassigned RAM Address / Reserved Channel 578,,,,,
579,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 579,Unassigned RAM Address / Reserved Channel 579,,,,,
580,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 580,Unassigned RAM Address / Reserved Channel 580,,,,,
581,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 581,Unassigned RAM Address / Reserved Channel 581,,,,,
582,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 582,Unassigned RAM Address / Reserved Channel 582,,,,,
583,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 583,Unassigned RAM Address / Reserved Channel 583,,,,,
584,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 584,Unassigned RAM Address / Reserved Channel 584,,,,,
585,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 585,Unassigned RAM Address / Reserved Channel 585,,,,,
586,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 586,Unassigned RAM Address / Reserved Channel 586,,,,,
587,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 587,Unassigned RAM Address / Reserved Channel 587,,,,,
588,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 588,Unassigned RAM Address / Reserved Channel 588,,,,,
589,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 589,Unassigned RAM Address / Reserved Channel 589,,,,,
590,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 590,Unassigned RAM Address / Reserved Channel 590,,,,,
591,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 591,Unassigned RAM Address / Reserved Channel 591,,,,,
592,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 592,Unassigned RAM Address / Reserved Channel 592,,,,,
593,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 593,Unassigned RAM Address / Reserved Channel 593,,,,,
594,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 594,Unassigned RAM Address / Reserved Channel 594,,,,,
595,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 595,Unassigned RAM Address / Reserved Channel 595,,,,,
596,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 596,Unassigned RAM Address / Reserved Channel 596,,,,,
597,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 597,Unassigned RAM Address / Reserved Channel 597,,,,,
598,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 598,Unassigned RAM Address / Reserved Channel 598,,,,,
599,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 599,Unassigned RAM Address / Reserved Channel 599,,,,,
600,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 600,Unassigned RAM Address / Reserved Channel 600,,,,,
601,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 601,Unassigned RAM Address / Reserved Channel 601,,,,,
602,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 602,Unassigned RAM Address / Reserved Channel 602,,,,,
603,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 603,Unassigned RAM Address / Reserved Channel 603,,,,,
604,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 604,Unassigned RAM Address / Reserved Channel 604,,,,,
605,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 605,Unassigned RAM Address / Reserved Channel 605,,,,,
606,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 606,Unassigned RAM Address / Reserved Channel 606,,,,,
607,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 607,Unassigned RAM Address / Reserved Channel 607,,,,,
608,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 608,Unassigned RAM Address / Reserved Channel 608,,,,,
609,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 609,Unassigned RAM Address / Reserved Channel 609,,,,,
610,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 610,Unassigned RAM Address / Reserved Channel 610,,,,,
611,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 611,Unassigned RAM Address / Reserved Channel 611,,,,,
612,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 612,Unassigned RAM Address / Reserved Channel 612,,,,,
613,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 613,Unassigned RAM Address / Reserved Channel 613,,,,,
614,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 614,Unassigned RAM Address / Reserved Channel 614,,,,,
615,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 615,Unassigned RAM Address / Reserved Channel 615,,,,,
616,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 616,Unassigned RAM Address / Reserved Channel 616,,,,,
617,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 617,Unassigned RAM Address / Reserved Channel 617,,,,,
618,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 618,Unassigned RAM Address / Reserved Channel 618,,,,,
619,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 619,Unassigned RAM Address / Reserved Channel 619,,,,,
620,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 620,Unassigned RAM Address / Reserved Channel 620,,,,,
621,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 621,Unassigned RAM Address / Reserved Channel 621,,,,,
622,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 622,Unassigned RAM Address / Reserved Channel 622,,,,,
623,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 623,Unassigned RAM Address / Reserved Channel 623,,,,,
624,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 624,Unassigned RAM Address / Reserved Channel 624,,,,,
625,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 625,Unassigned RAM Address / Reserved Channel 625,,,,,
626,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 626,Unassigned RAM Address / Reserved Channel 626,,,,,
627,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 627,Unassigned RAM Address / Reserved Channel 627,,,,,
628,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 628,Unassigned RAM Address / Reserved Channel 628,,,,,
629,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 629,Unassigned RAM Address / Reserved Channel 629,,,,,
630,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 630,Unassigned RAM Address / Reserved Channel 630,,,,,
631,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 631,Unassigned RAM Address / Reserved Channel 631,,,,,
632,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 632,Unassigned RAM Address / Reserved Channel 632,,,,,
633,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 633,Unassigned RAM Address / Reserved Channel 633,,,,,
634,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 634,Unassigned RAM Address / Reserved Channel 634,,,,,
635,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 635,Unassigned RAM Address / Reserved Channel 635,,,,,
636,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 636,Unassigned RAM Address / Reserved Channel 636,,,,,
637,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 637,Unassigned RAM Address / Reserved Channel 637,,,,,
638,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 638,Unassigned RAM Address / Reserved Channel 638,,,,,
639,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 639,Unassigned RAM Address / Reserved Channel 639,,,,,
640,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 640,Unassigned RAM Address / Reserved Channel 640,,,,,
641,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 641,Unassigned RAM Address / Reserved Channel 641,,,,,
642,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 642,Unassigned RAM Address / Reserved Channel 642,,,,,
643,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 643,Unassigned RAM Address / Reserved Channel 643,,,,,
644,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 644,Unassigned RAM Address / Reserved Channel 644,,,,,
645,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 645,Unassigned RAM Address / Reserved Channel 645,,,,,
